column_name,column_type,is_chart_abstracted,column_counts,description
Potassium.below3.5,boolean,,"{False: 1103, True: 98}",
Chloride.above107,boolean,,"{False: 1214, True: 47}",Serum chloride
Chloride.between96and107,boolean,,"{False: 435, True: 826}",
Chloride.below96,boolean,,"{False: 873, True: 388}",
Bicarbonate.above31,boolean,,"{False: 1240, True: 20}",Serum bicarbonate
Bicarbonate.between21and31,boolean,,"{False: 232, True: 1028}",
Bicarbonate.below21,boolean,,"{False: 1048, True: 212}",
Blood_Urea_Nitrogen.above20,boolean,,"{False: 845, True: 416}",Serum BUN measured for kidney function
Blood_Urea_Nitrogen.between5and20,boolean,,"{False: 433, True: 828}",
Blood_Urea_Nitrogen.below5,boolean,,"{False: 1244, True: 17}",
Creatinine.above1.2,boolean,,"{False: 920, True: 341}",Serum creatinine measured for kidney function
Creatinine.between0.5and1.2,boolean,,"{False: 375, True: 886}",
Creatinine.below0.5,boolean,,"{False: 1227, True: 34}",
eGFR.above60,boolean,,"{False: 340, True: 902}",Serum estimated glomerular filtration rate
eGFR.between30and60,boolean,,"{False: 1003, True: 239}",
eGFR.below30,boolean,,"{False: 1141, True: 101}",
blood_pH.above7.45,boolean,,"{False: 183, True: 60}",
blood_pH.between7.35and7.45,boolean,,"{False: 126, True: 117}",
blood_pH.below7.35,boolean,,"{False: 177, True: 66}",
Troponin.above0.01,boolean,,"{False: 821, True: 222}",Serum indicator of damage to heart tissue
D_dimer.above3000,boolean,,"{False: 961, True: 63}",Serum D-dimer
D_dimer.between500and3000,boolean,,"{False: 739, True: 285}",
D_dimer.below500,boolean,,"{False: 348, True: 676}",
ESR.above30,boolean,,"{False: 187, True: 455}",Serum erythrocyte sedimentation rate
Microscopic_hematuria.above2,boolean,,"{False: 379, True: 209}",Blood in urine
SBP.below120,boolean,,"{False: 958, True: 515}",Systolic blood pressure
SBP.between120and139,boolean,,"{False: 938, True: 535}",
SBP.above139,boolean,,"{False: 1050, True: 423}",
MAP.below65,boolean,,"{False: 1241, True: 25}",Mean arterial pressure
MAP.between65and90,boolean,,"{False: 685, True: 581}",
MAP.above90,boolean,,"{False: 606, True: 660}",
procalcitonin.below0.25,boolean,,"{False: 380, True: 735}",Serum procalcitonin
procalcitonin.between0.25and0.5,boolean,,"{False: 937, True: 178}",
procalcitonin.above0.5,boolean,,"{False: 913, True: 202}",
ferritin.above1k,boolean,,"{False: 613, True: 343}",Serum ferritin
Proteinuria.above80,boolean,,"{False: 149, True: 81}",
8331-1_Oral temperature,numeric,,,Oral temperature in degrees C
59408-5_Oxygen saturation in Arterial blood by Pulse oximetry,numeric,,,
9279-1_Respiratory rate,numeric,,,
76282-3_Heart rate.beat-to-beat by EKG,numeric,,,
8480-6_Systolic blood pressure,numeric,,,
76536-2_Mean blood pressure by Noninvasive,numeric,,,
33256-9_Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,numeric,,,
751-8_Neutrophils [#/volume] in Blood by Automated count,numeric,,,
731-0_Lymphocytes [#/volume] in Blood by Automated count,numeric,,,
2951-2_Sodium [Moles/volume] in Serum or Plasma,numeric,,,
1920-8_Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,numeric,,,
1744-2_Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,numeric,,,
2157-6_Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,numeric,,,
2524-7_Lactate [Moles/volume] in Serum or Plasma,numeric,,,
6598-7_Troponin T.cardiac [Mass/volume] in Serum or Plasma,numeric,,,
33762-6_Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,numeric,,,
75241-0_Procalcitonin [Mass/volume] in Serum or Plasma by Immunoassay,numeric,,,
48058-2_Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay,numeric,,,
2276-4_Ferritin [Mass/volume] in Serum or Plasma,numeric,,,
1988-5_C reactive protein [Mass/volume] in Serum or Plasma,numeric,,,
4548-4_Hemoglobin A1c/Hemoglobin.total in Blood,numeric,,,
39156-5_Body mass index (BMI) [Ratio],numeric,,,
2951-2_Sodium [Moles/volume] in Serum or Plasma.1,numeric,,,
2823-3_Potassium [Moles/volume] in Serum or Plasma,numeric,,,
2075-0_Chloride [Moles/volume] in Serum or Plasma,numeric,,,
1963-8_Bicarbonate [Moles/volume] in Serum or Plasma,numeric,,,
3094-0_Urea nitrogen [Mass/volume] in Serum or Plasma,numeric,,,
2160-0_Creatinine [Mass/volume] in Serum or Plasma,numeric,,,
"62238-1_Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",numeric,,,
33254-4_pH of Arterial blood adjusted to patient's actual temperature,numeric,,,
30341-2_Erythrocyte sedimentation rate,numeric,,,
2345-7_Glucose [Mass/volume] in Serum or Plasma,numeric,,,
13457-7_Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,numeric,,,
13458-5_Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation,numeric,,,
2571-8_Triglyceride [Mass/volume] in Serum or Plasma,numeric,,,
2085-9_Cholesterol in HDL [Mass/volume] in Serum or Plasma,numeric,,,
therapeutic.exnox.Boolean,boolean,,"{False: 1020, True: 355}",Patient had enoxaparin administered
therapeutic.heparin.Boolean,boolean,,"{False: 1190, True: 185}",Patient had heparin administered at a therapeutic dose
Other.anticoagulation.therapy,string,,"{'apixaban': 89, 'argatroban': 11, 'dabigatran': 1, 'multiple': 9, 'not documented': 1223, 'rivaroxaban': 20, 'wafarin': 22}",Patient had other anticoagulation therapy as listed
